teks_keluhan_awam|teks_laporan_teknisi|tipe_aset|lokasi_gedung|lokasi_lantai|lokasi_zona|kategori_aset|severity|root_cause|jenis_kerusakan|biaya_perbaikan
Tolong dong Siamese Connection di Gedung Gedung A lantai 15 zona Selatan rusak nih, gk tau dmn salahnya, bgt mogok, yg penting cepat diperbaiki!|Laporan teknisi: Siamese Connection mengalami kerusakan berat akibat aus normal, dilakukan perbaikan dengan mengganti komponen yang rusak, biaya perbaikan sebesar 3680000|Siamese Connection|Gedung A|15|Selatan|Sistem Pemadam Kebakaran|Berat|Aus normal|Retak/pecah|3680000
Lapor. Siamese Connection lt 15 Selatan mati total.|Laporan teknisi: Siamese Connection mengalami kerusakan berat, dilakukan perbaikan dengan mengganti komponen yang rusak, biaya perbaikan sebesar 3680000|Siamese Connection|Gedung A|15|Selatan|Sistem Pemadam Kebakaran|Berat|Aus normal|Retak/pecah|3680000
Mohon periksa Siamese Connection di Gedung Gedung A lantai 15 zona Selatan, karena telah mengalami kerusakan berat dan tidak dapat berfungsi dengan baik.|Laporan teknisi: Siamese Connection mengalami kerusakan berat akibat aus normal, dilakukan perbaikan dengan mengganti komponen yang rusak, untuk memulihkan fungsinya, biaya perbaikan sebesar 3680000|Siamese Connection|Gedung A|15|Selatan|Sistem Pemadam Kebakaran|Berat|Aus normal|Retak/pecah|3680000
Wastafel di Gedung Gedung Utama lantai 18 zona Barat bgt rusak nih, airnya bocor deras bgt, tolong dong cepat dicek yg, gk tau dmn letak kerusakannya!|Teknisi melakukan pengecekan dan perbaikan, ditemukan Aus normal pada koneksi, sehingga dilakukan penggantian koneksi|Wastafel|Gedung Utama|18|Barat|Plumbing|Fatal|Aus normal|Koneksi terputus|19680000
Lapor, Wastafel lt 18 Barat mati total!|Teknisi melakukan analisis kerusakan dan menemukan Aus normal, lalu melakukan perbaikan koneksi|Wastafel|Gedung Utama|18|Barat|Plumbing|Fatal|Aus normal|Koneksi terputus|19680000
Mohon perhatian, Wastafel di Gedung Gedung Utama lantai 18 zona Barat mengalami kerusakan parah, air bocor deras dan menyebabkan banjir, mohon segera dikirim teknisi untuk pengecekan dan perbaikan|Teknisi melakukan pengecekan menyeluruh dan menemukan Aus normal, melakukan perbaikan koneksi dan mengganti komponen yang rusak, biaya perbaikan sebesar Rp 19680000|Wastafel|Gedung Utama|18|Barat|Plumbing|Fatal|Aus normal|Koneksi terputus|19680000
Halo, Lampu LED Strip di Gedung Gedung Parkir lantai 4 zona Timur rusak nih, gk nyala bgt, tolong dong diperbaiki yg cepat, klo gk bisa diperbaiki bisa ganti yg baru, dmn saya harus menghubungi sih?|Lampu LED Strip mengalami Overheat karena Getaran, perlu dilakukan pembersihan dan pengecekan komponen, biaya perbaikan sebesar Rp 130000|Lampu LED Strip|Gedung Parkir|4|Timur|Electrical|Ringan|Getaran|Overheat|130000
Lapor, Lampu LED Strip di lantai 4 Timur gedung parkir rusak|Lampu LED Strip mengalami kerusakan karena Getaran, perlu dilakukan perbaikan dan penggantian komponen|Lampu LED Strip|Gedung Parkir|4|Timur|Electrical|Ringan|Getaran|Overheat|130000
Mohon perhatian, terdapat kerusakan pada Lampu LED Strip yang terletak di Gedung Gedung Parkir lantai 4 zona Timur, kondisinya tidak berfungsi dengan baik, mohon untuk segera diperbaiki|Lampu LED Strip mengalami Overheat karena Getaran, dilakukan pembersihan dan perbaikan, biaya perbaikan sebesar Rp 130000|Lampu LED Strip|Gedung Parkir|4|Timur|Electrical|Ringan|Getaran|Overheat|130000
Tolong dong Pintu Biasa Berdaun Tunggal di Gedung Gedung B lantai 9 zona Barat rusak bgt, nyetrum gk ya?|Pintu Biasa Berdaun Tunggal mengalami korsleting akibat kualitas material yang buruk, perlu dilakukan penggantian komponen|Pintu Biasa Berdaun Tunggal|Gedung B|9|Barat|Arsitektur|Fatal|Kualitas material|Korsleting|29560000
Lapor. Pintu Biasa Berdaun Tunggal lt 9 Barat terbakar|Pintu Biasa Berdaun Tunggal mengalami kerusakan fatal akibat kualitas material yang buruk, perlu dilakukan perbaikan segera|Pintu Biasa Berdaun Tunggal|Gedung B|9|Barat|Arsitektur|Fatal|Kualitas material|Korsleting|29560000
Mohon periksa Pintu Biasa Berdaun Tunggal di Gedung Gedung B lantai 9 zona Barat, karena terjadi korsleting yang menyebabkan nyetrum|Pintu Biasa Berdaun Tunggal mengalami kerusakan akibat kualitas material yang buruk, perlu dilakukan penggantian komponen dan perbaikan segera dengan biaya Rp 29560000|Pintu Biasa Berdaun Tunggal|Gedung B|9|Barat|Arsitektur|Fatal|Kualitas material|Korsleting|29560000
Tolong dong Plafon Gypsum / GRC di Gedung Gedung B lantai 2 zona Utara rusak bgt, gk tahu dmn salahnya, tp yg jelas plafonnya ambruk banget|Overload pada plafon GRC menyebabkan kerusakan fatal, perlu peninjauan ulang desain struktur dan pemasangan|Plafon Gypsum / GRC|Gedung B|2|Utara|Arsitektur|Fatal|Overload|Performa menurun|12220000
Lapor, Plafon Gypsum / GRC lt 2 Utara terbakar|Kerusakan plafon disebabkan oleh overload, perlu dilakukan pemeriksaan dan perbaikan segera|Plafon Gypsum / GRC|Gedung B|2|Utara|Arsitektur|Fatal|Overload|Performa menurun|12220000
Mohon bantuan, Plafon Gypsum / GRC di Gedung Gedung B lantai 2 zona Utara mengalami kerusakan yang sangat parah, nyetrum listrik dan bau gosong|Kerusakan plafon GRC disebabkan oleh overload, perlu dilakukan perbaikan dan penggantian komponen yang rusak segera, dengan biaya perbaikan sebesar|Plafon Gypsum / GRC|Gedung B|2|Utara|Arsitektur|Fatal|Overload|Performa menurun|12220000
Lampu LED Strip di Gedung Gedung Utama lantai 6 zona Utara nyetrum bgt, tolong dong cepat dicek yg bermasalah dmn|Laporan teknisi: Perbaikan dilakukan dengan mengganti komponen yang rusak akibat Tegangan tidak stabil, kemudian dilakukan pengetesan ulang untuk memastikan kinerja yang stabil|Lampu LED Strip|Gedung Gedung Utama|6|Utara|Electrical|Fatal|Tegangan tidak stabil|Korsleting|36110000
Lapor, Lampu LED Strip lt 6 Utara terbakar|Laporan teknisi: Perbaikan dilakukan dengan mengganti komponen yang rusak akibat Tegangan tidak stabil|Lampu LED Strip|Gedung Gedung Utama|6|Utara|Electrical|Fatal|Tegangan tidak stabil|Korsleting|36110000
Mohon bantuannya untuk memperbaiki Lampu LED Strip di Gedung Gedung Utama lantai 6 zona Utara, karena terjadi kejadian nyetrum yang sangat membahayakan|Laporan teknisi: Perbaikan dilakukan dengan mengganti komponen yang rusak akibat Tegangan tidak stabil, dengan biaya perbaikan sebesar Rp 36110000|Lampu LED Strip|Gedung Gedung Utama|6|Utara|Electrical|Fatal|Tegangan tidak stabil|Korsleting|36110000
Tolong dong Panel LSA Telepon di Gedung Gedung B lantai 10 zona Selatan rusak nih, bgt berisik banget dan remote gk berfungsi yg bikin kita gk bisa nelpon|Ditemukan kerusakan pada Panel LSA Telepon di Gedung Gedung B lantai 10 zona Selatan, kemungkinan disebabkan oleh Getaran, perlu dilakukan perbaikan untuk mengganti remote yang tidak berfungsi dengan biaya perbaikan sebesar Rp 1030000|Panel LSA Telepon|Gedung B|10|Selatan|Sistem Telekomunikasi Gedung|Sedang|Getaran|Remote tidak berfungsi|1030000
Lapor, Panel LSA Telepon di lantai 10 Selatan bermasalah|Ditemukan kerusakan pada Panel LSA Telepon di Gedung Gedung B lantai 10 zona Selatan, kemungkinan disebabkan oleh Getaran, perlu dilakukan perbaikan untuk mengganti remote yang tidak berfungsi|Panel LSA Telepon|Gedung B|10|Selatan|Sistem Telekomunikasi Gedung|Sedang|Getaran|Remote tidak berfungsi|1030000
Mohon perhatian, Panel LSA Telepon di Gedung Gedung B lantai 10 zona Selatan mengalami kerusakan pada remote yang tidak berfungsi, sehingga menyebabkan gangguan pada sistem telekomunikasi|Ditemukan kerusakan pada Panel LSA Telepon di Gedung Gedung B lantai 10 zona Selatan, kemungkinan disebabkan oleh Getaran, perlu dilakukan perbaikan untuk mengganti remote yang tidak berfungsi dengan biaya perbaikan sebesar Rp 1030000|Panel LSA Telepon|Gedung B|10|Selatan|Sistem Telekomunikasi Gedung|Sedang|Getaran|Remote tidak berfungsi|1030000
Lampu Neon Sign di Gedung Utama lantai 16 zona Barat rusak bgt, nyetrum, tolong dong bantu perbaiki, gk tahu dmn masalahnya|Laporan teknisi: perbaikan dilakukan dengan membersihkan Debu/kotoran dan mengganti komponen yang rusak, biaya perbaikan sebesar Rp 50000|Lampu Neon Sign|Gedung Utama|16|Barat|Electrical|Fatal|Debu/kotoran|Tampilan rusak|50000
Lapor, Lampu Neon Sign lt 16 Barat terbakar|Perbaikan dilakukan dengan mengganti komponen yang rusak dan membersihkan Debu/kotoran, tindakan perbaikan selesai dengan biaya Rp 50000|Lampu Neon Sign|Gedung Utama|16|Barat|Electrical|Fatal|Debu/kotoran|Tampilan rusak|50000
Mohon bantuan untuk memperbaiki Lampu Neon Sign di Gedung Utama lantai 16 zona Barat yang mengalami kerusakan fatal, nyetrum, dan tidak dapat digunakan|Laporan teknisi: dilakukan pembersihan Debu/kotoran, penggantian komponen yang rusak, dan perbaikan lainnya dengan biaya perbaikan sebesar Rp 50000|Lampu Neon Sign|Gedung Utama|16|Barat|Electrical|Fatal|Debu/kotoran|Tampilan rusak|50000
Tolong dong Smoke Detector di Gedung Gedung D lantai 11 zona Selatan rusak nih, bgt kotor dan berdebu, gk tau dmn letak masalahnya tapi yg jelas bunyi pelan bgt!|Debu/kotoran menyebabkan tekanan tidak stabil, perbaikan dilakukan dengan membersihkan komponen dan mengganti filter|Smoke Detector|Gedung D|11|Selatan|Sistem Proteksi Kebakaran Aktif|Ringan|Debu/kotoran|Tekanan tidak stabil|290000
Lapor, Smoke Detector di lt 11 Selatan rusak|Debu/kotoran menyebabkan tekanan tidak stabil, perbaikan dilakukan dengan membersihkan komponen dan mengganti filter|Smoke Detector|Gedung D|11|Selatan|Sistem Proteksi Kebakaran Aktif|Ringan|Debu/kotoran|Tekanan tidak stabil|290000
Saya ingin melaporkan bahwa Smoke Detector di Gedung Gedung D lantai 11 zona Selatan mengalami kerusakan ringan, yaitu kotor dan berdebu, sehingga menyebabkan tekanan tidak stabil|Debu/kotoran menyebabkan tekanan tidak stabil, perbaikan dilakukan dengan membersihkan komponen dan mengganti filter, biaya perbaikan sebesar Rp 290000|Smoke Detector|Gedung D|11|Selatan|Sistem Proteksi Kebakaran Aktif|Ringan|Debu/kotoran|Tekanan tidak stabil|290000
Tolong dong LAN (Local Area Network) di Gedung Gedung B lantai 8 zona Tengah rusak nih, gk tau kenapa, bgt mogok, dmn hrus lapor?|Ditemukan kerusakan pada LAN (Local Area Network) di Gedung Gedung B lantai 8 zona Tengah, disebabkan oleh Debu/kotoran, sehingga menyebabkan Performa menurun, dilakukan pembersihan dan perawatan untuk mengembalikan kondisi normal|LAN (Local Area Network)|Gedung B|8|Tengah|Sistem Telekomunikasi Gedung|Berat|Debu/kotoran|Performa menurun|7640000
Lapor. LAN (Local Area Network) lt 8 Tengah mati.|Kerusakan pada LAN (Local Area Network) di Gedung Gedung B lantai 8 zona Tengah disebabkan oleh Debu/kotoran, sehingga menyebabkan Performa menurun, perlu dilakukan perawatan dan pembersihan|LAN (Local Area Network)|Gedung B|8|Tengah|Sistem Telekomunikasi Gedung|Berat|Debu/kotoran|Performa menurun|7640000
Mohon bantuan untuk memperbaiki LAN (Local Area Network) di Gedung Gedung B lantai 8 zona Tengah, karena LAN tersebut mogok dan tidak berfungsi dengan baik.|Dilakukan analisis dan perbaikan pada LAN (Local Area Network) di Gedung Gedung B lantai 8 zona Tengah, ditemukan kerusakan akibat Debu/kotoran, sehingga menyebabkan Performa menurun, biaya perbaikan sebesar Rp 7640000|LAN (Local Area Network)|Gedung B|8|Tengah|Sistem Telekomunikasi Gedung|Berat|Debu/kotoran|Performa menurun|7640000
Genset Diesel di Gedung Gedung Parkir lantai 4 zona Barat rusak nih, bunyi berisik banget bgt, gk tau dmn letak kerusakannya, tolong dong cepat dicek|Kerusakan disebabkan oleh Human error, perlu dilakukan pengecekan dan perbaikan pada sistem pendingin untuk mengurangi getaran berlebihan|Genset Diesel|Gedung Gedung Parkir|4|Barat|Mechanical|Sedang|Human error|Getaran berlebihan|1460000
Lapor, Genset Diesel di lt 4 Barat bermasalah|Kerusakan akibat Human error, perlu perbaikan untuk mengatasi getaran berlebihan|Genset Diesel|Gedung Gedung Parkir|4|Barat|Mechanical|Sedang|Human error|Getaran berlebihan|1460000
Mohon bantuan untuk memperbaiki Genset Diesel yang berada di Gedung Gedung Parkir lantai 4 zona Barat, karena mengalami getaran berlebihan yang menyebabkan bunyi berisik|Perbaikan dilakukan dengan memperbaiki sistem pendingin yang rusak akibat Human error, biaya perbaikan sebesar Rp 1460000|Genset Diesel|Gedung Gedung Parkir|4|Barat|Mechanical|Sedang|Human error|Getaran berlebihan|1460000
Tolong dong Pemipaan Air Kotor di Gedung Gedung E lantai 1 zona Utara rusak bgt, gk tahu dmn salahnya, tp yg jelas patah dan mogok, bantu yaa!|Tegangan tidak stabil menyebabkan korsleting, dilakukan perbaikan dan penggantian komponen|Pemipaan Air Kotor|Gedung E|1|Utara|Plumbing|Berat|Tegangan tidak stabil|Korsleting|3170000
Lapor. Pemipaan Air Kotor lt 1 Utara mati.|Kerusakan disebabkan oleh Tegangan tidak stabil, perlu dilakukan perbaikan|Pemipaan Air Kotor|Gedung E|1|Utara|Plumbing|Berat|Tegangan tidak stabil|Korsleting|3170000
Pemipaan Air Kotor di Gedung Gedung E lantai 1 zona Utara mengalami kerusakan berat, yaitu mati total dan patah, mohon bantuan untuk perbaikan|Tegangan tidak stabil menyebabkan korsleting, perlu dilakukan penggantian komponen dan perbaikan, biaya perbaikan sebesar Rp 3170000|Pemipaan Air Kotor|Gedung E|1|Utara|Plumbing|Berat|Tegangan tidak stabil|Korsleting|3170000
Gue butuh bantuan, APAR Dry Powder Cartridge di Gedung Gedung D lantai 6 zona Utara mati total gk bisa dipake lagi, tolong dong!|APAR Dry Powder Cartridge mengalami kerusakan berat karena human error, perlu dilakukan perbaikan dengan mengganti komponen yang rusak|APAR Dry Powder Cartridge|Gedung D|6|Utara|Sistem Pemadam Kebakaran|Berat|Human error|Retak/pecah|1640000
Lapor. APAR Dry Powder Cartridge lt 6 Utara mati.|APAR Dry Powder Cartridge mengalami kerusakan akibat human error, perlu dilakukan perbaikan segera|APAR Dry Powder Cartridge|Gedung D|6|Utara|Sistem Pemadam Kebakaran|Berat|Human error|Retak/pecah|1640000
Mohon perhatian, APAR Dry Powder Cartridge di Gedung Gedung D lantai 6 zona Utara tidak berfungsi dengan baik, sehingga perlu dilakukan perbaikan secepatnya|APAR Dry Powder Cartridge mengalami kerusakan berat karena human error, perlu dilakukan tindakan perbaikan dengan mengganti komponen yang rusak, biaya perbaikan sebesar Rp 1640000|APAR Dry Powder Cartridge|Gedung D|6|Utara|Sistem Pemadam Kebakaran|Berat|Human error|Retak/pecah|1640000
Tolong dong APAR CO2 di Gedung Gedung E lantai 2 zona Barat rusak bgt, patah, gk bisa nyala sama sekali, tolong cepat bgt, yg bisa bantu?|Ditemukan kerusakan pada APAR CO2 di Gedung Gedung E lantai 2 zona Barat akibat korosi, dilakukan perbaikan dengan mengganti komponen yang rusak|APAR CO2|Gedung E|2|Barat|Sistem Pemadam Kebakaran|Berat|Korosi|Suhu tidak stabil|2970000
Lapor, APAR CO2 lt 2 Barat mati total|APAR CO2 di Gedung Gedung E lantai 2 zona Barat mengalami kerusakan akibat korosi, perlu dilakukan perbaikan segera|APAR CO2|Gedung E|2|Barat|Sistem Pemadam Kebakaran|Berat|Korosi|Suhu tidak stabil|2970000
Mohon bantuan untuk perbaikan APAR CO2 yang terletak di Gedung Gedung E lantai 2 zona Barat, karena APAR CO2 tersebut已经 tidak berfungsi dengan baik, yaitu mati total|Dilakukan inspeksi dan perbaikan pada APAR CO2 di Gedung Gedung E lantai 2 zona Barat, ditemukan kerusakan akibat korosi, biaya perbaikan sebesar Rp 2970000|APAR CO2|Gedung E|2|Barat|Sistem Pemadam Kebakaran|Berat|Korosi|Suhu tidak stabil|2970000
Tolong dong Rolling Door di Gedung Gedung Parkir lantai 2 zona Selatan rusak nih, gk tau knp tiba2 mati gitu, bgt berisik juga, tolong bantu yah|Rolling Door mengalami kerusakan karena kurang perawatan, perlu dilakukan pengecekan dan perbaikan untuk mengembalikan fungsi normal|Rolling Door|Gedung Gedung Parkir|2|Selatan|Arsitektur|Sedang|Kurang perawatan|Mati mendadak|1620000
Lapor, Rolling Door lt 2 Selatan mati|Rolling Door mengalami kerusakan karena kurang perawatan, perlu dilakukan pengecekan dan perbaikan untuk mengembalikan fungsi normal|Rolling Door|Gedung Gedung Parkir|2|Selatan|Arsitektur|Sedang|Kurang perawatan|Mati mendadak|1620000
Rolling Door di Gedung Gedung Parkir lantai 2 zona Selatan mengalami kerusakan, saya mohon bantuan untuk memperbaiki, karena Rolling Door tersebut sangat penting untuk keamanan dan kenyamanan|Rolling Door mengalami kerusakan karena kurang perawatan, perlu dilakukan pengecekan dan perbaikan untuk mengembalikan fungsi normal dengan biaya perbaikan sebesar Rp 1620000|Rolling Door|Gedung Gedung Parkir|2|Selatan|Arsitektur|Sedang|Kurang perawatan|Mati mendadak|1620000
Tolong dong Plafon Gypsum / GRC di Gedung Gedung B lantai 8 zona Barat rusak nih, bgt kotor dan kusam, gk tau dmn masalahnya|Perbaikan dilakukan dengan mengganti material yang berkualitas rendah, biaya perbaikan sebesar Rp 260000|Plafon Gypsum / GRC|Gedung B|8|Barat|Arsitektur|Ringan|Kualitas material|Retak/pecah|260000
Lapor, Plafon Gypsum / GRC lt 8 Barat rusak|Perlu peninjauan ulang kualitas material dan perbaikan yang tepat|Plafon Gypsum / GRC|Gedung B|8|Barat|Arsitektur|Ringan|Kualitas material|Retak/pecah|260000
Mohon perhatian, terdapat kerusakan pada Plafon Gypsum / GRC di Gedung Gedung B, lantai 8, zona Barat, kondisinya kusam dan berdebu|Perbaikan akan dilakukan dengan memperhatikan kualitas material dan melakukan tindakan yang tepat, biaya perbaikan akan ditentukan setelah peninjauan|Plafon Gypsum / GRC|Gedung B|8|Barat|Arsitektur|Ringan|Kualitas material|Retak/pecah|260000
Tolong dong Lampu LED Bulb di Gedung Gedung E lantai 6 zona Utara rusak bgt, gk nyala sama sekali, bau gosong, tolong bantu kita dmn bisa komplain?|Laporan teknisi: Lampu LED Bulb di Gedung Gedung E lantai 6 zona Utara rusak karena Debu/kotoran, dilakukan pembersihan dan penggantian komponen yang rusak|Lampu LED Bulb|Gedung E|6|Utara|Electrical|Fatal|Debu/kotoran|Lampu mati|27190000
Lapor, Lampu LED Bulb lt 6 Utara mati, bau gosong!|Laporan teknisi: Lampu LED Bulb di Gedung Gedung E lantai 6 zona Utara mengalami kerusakan karena Debu/kotoran, perlu dilakukan perbaikan segera|Lampu LED Bulb|Gedung E|6|Utara|Electrical|Fatal|Debu/kotoran|Lampu mati|27190000
Mohon bantuan, Lampu LED Bulb di Gedung Gedung E lantai 6 zona Utara tidak nyala, terdapat bau gosong, kemungkinan karena Debu/kotoran, tolong dilakukan pengecekan dan perbaikan|Laporan teknisi: Dilakukan pembersihan dan penggantian komponen yang rusak pada Lampu LED Bulb di Gedung Gedung E lantai 6 zona Utara, biaya perbaikan sebesar Rp 27190000|Lampu LED Bulb|Gedung E|6|Utara|Electrical|Fatal|Debu/kotoran|Lampu mati|27190000
Tolong dong Smoke Detector di Gedung Gedung Utama lantai 20 zona Timur rusak nih, bunyi pelan bgt, gk tau dmn salahnya|Perbaikan dilakukan dengan mengganti komponen yang rusak akibat Human error, biaya perbaikan sebesar Rp 530000|Smoke Detector|Gedung Utama|20|Timur|Sistem Proteksi Kebakaran Aktif|Ringan|Human error|Suhu tidak stabil|530000
Lapor, Smoke Detector lt 20 Timur bunyi pelan|Perbaikan berhasil dilakukan dengan mengganti komponen yang rusak, penyebabnya adalah Human error|Smoke Detector|Gedung Utama|20|Timur|Sistem Proteksi Kebakaran Aktif|Ringan|Human error|Suhu tidak stabil|530000
Smoke Detector di Gedung Gedung Utama lantai 20 zona Timur mengalami gangguan, suhu tidak stabil sehingga bunyi pelan|Perbaikan telah dilakukan dengan mengganti komponen yang rusak, kemungkinan disebabkan oleh Human error, biaya perbaikan Rp 530000|Smoke Detector|Gedung Utama|20|Timur|Sistem Proteksi Kebakaran Aktif|Ringan|Human error|Suhu tidak stabil|530000
Proyektor di Gedung Gedung B lantai 3 zona Tengah rusak bgt nih, gk tau dmn salahnya, tp kedap-kedip terus!|Laporan teknisi: Overload pada sistem proyektor, perlu dilakukan perbaikan dan penggantian komponen yang rusak|Proyektor|Gedung B|3|Tengah|Sistem Telekomunikasi Gedung|Sedang|Overload|Tampilan rusak|2240000
Lapor, Proyektor lt 3 Tengah rusak!|Laporan teknisi: Overload pada proyektor, dilakukan perbaikan dan penggantian komponen|Proyektor|Gedung B|3|Tengah|Sistem Telekomunikasi Gedung|Sedang|Overload|Tampilan rusak|2240000
